ZipCode	Zip Code
LogRecNum	Logical Record Number
HHWHhWhtNotHisp_Tot	Households with a householder who is White alone, not Hispanic or Latino: Total:
HHWHhWhtNotHisp_HhLt25y	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years:
HHWHhWhtNotHisp_HhLt25y_LtUsd10k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: Less than $10,000
HHWHhWhtNotHisp_HhLt25y_Usd10kto15k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $10,000 to $14,999
HHWHhWhtNotHisp_HhLt25y_Usd15kto20k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $15,000 to $19,999
HHWHhWhtNotHisp_HhLt25y_Usd20kto25k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $20,000 to $24,999
HHWHhWhtNotHisp_HhLt25y_Usd25kto30k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $25,000 to $29,999
HHWHhWhtNotHisp_HhLt25y_Usd30kto35k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $30,000 to $34,999
HHWHhWhtNotHisp_HhLt25y_Usd35kto40k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $35,000 to $39,999
HHWHhWhtNotHisp_HhLt25y_Usd40kto45k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $40,000 to $44,999
HHWHhWhtNotHisp_HhLt25y_Usd45kto50k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $45,000 to $49,999
HHWHhWhtNotHisp_HhLt25y_Usd50kto60k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $50,000 to $59,999
HHWHhWhtNotHisp_HhLt25y_Usd60kto75k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $60,000 to $74,999
HHWHhWhtNotHisp_HhLt25y_Usd75kto100k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $75,000 to $99,999
HHWHhWhtNotHisp_HhLt25y_Usd100kto125k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $100,000 to $124,999
HHWHhWhtNotHisp_HhLt25y_Usd125kto150k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $125,000 to $149,999
HHWHhWhtNotHisp_HhLt25y_Usd150kto200k	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $150,000 to $199,999
HHWHhWhtNotHisp_HhLt25y_Usd200korM	Households with a householder who is White alone, not Hispanic or Latino: Householder under 25 years: $200,000 or more
HHWHhWhtNotHisp_Hh25to34y	Households with a householder who is White alone, not Hispanic or Latino: Householder 25 to 34 years:
HHWHhWhtNotHisp_Hh25to34y_LtUsd10k	Households with a householder who is White alone, not Hispanic or Latino: Householder 25 to 34 years: Less than $10,000
HHWHhWhtNotHisp_Hh25to34y_Usd10kto15k	Households with a householder who is White alone, not Hispanic or Latino: Householder 25 to 34 years: $10,000 to $14,999
HHWHhWhtNotHisp_Hh25to34y_Usd15kto20k	Households with a householder who is White alone, not Hispanic or Latino: Householder 25 to 34 years: $15,000 to $19,999
