ZipCode	Zip Code
LogRecNum	Logical Record Number
PopGte16y_Tot	Population 16 years and over: Total:
PopGte16y_Mle	Population 16 years and over: Male:
PopGte16y_Mle_Wrkd99	Population 16 years and over: Male: Worked in 1999:
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week:
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_50to52w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 50 to 52 weeks
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_48and49w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 48 and 49 weeks
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_40to47w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 40 to 47 weeks
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_27to39w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 27 to 39 weeks
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_14to26w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 14 to 26 weeks
PopGte16y_Mle_Wrkd99_UslyWorkGte35hWeek_1to13w	Population 16 years and over: Male: Worked in 1999: Usually worked 35 or more hours per week: 1 to 13 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week:
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_50to52w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 50 to 52 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_48and49w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 48 and 49 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_40to47w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 40 to 47 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_27to39w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 27 to 39 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_14to26w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 14 to 26 weeks
PopGte16y_Mle_Wrkd99_UslyWork15to34hWeek_1to13w	Population 16 years and over: Male: Worked in 1999: Usually worked 15 to 34 hours per week: 1 to 13 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week:
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_50to52w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 50 to 52 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_48and49w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 48 and 49 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_40to47w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 40 to 47 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_27to39w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 27 to 39 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_14to26w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 14 to 26 weeks
PopGte16y_Mle_Wrkd99_UslyWork1to14hWeek_1to13w	Population 16 years and over: Male: Worked in 1999: Usually worked 1 to 14 hours per week: 1 to 13 weeks
PopGte16y_Mle_Wrkd99_DNWork99	Population 16 years and over: Male: Worked in 1999: Did not work in 1999
PopGte16y_Fem	Population 16 years and over: Female:
PopGte16y_Fem_Wrkd99	Population 16 years and over: Female: Worked in 1999:
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week:
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_50to52w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 50 to 52 weeks
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_48and49w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 48 and 49 weeks
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_40to47w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 40 to 47 weeks
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_27to39w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 27 to 39 weeks
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_14to26w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 14 to 26 weeks
PopGte16y_Fem_Wrkd99_UslyWorkGte35hWeek_1to13w	Population 16 years and over: Female: Worked in 1999: Usually worked 35 or more hours per week: 1 to 13 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week:
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_50to52w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 50 to 52 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_48and49w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 48 and 49 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_40to47w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 40 to 47 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_27to39w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 27 to 39 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_14to26w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 14 to 26 weeks
PopGte16y_Fem_Wrkd99_UslyWork15to34hWeek_1to13w	Population 16 years and over: Female: Worked in 1999: Usually worked 15 to 34 hours per week: 1 to 13 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week:
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_50to52w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 50 to 52 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_48and49w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 48 and 49 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_40to47w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 40 to 47 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_27to39w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 27 to 39 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_14to26w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 14 to 26 weeks
PopGte16y_Fem_Wrkd99_UslyWork1to14hWeek_1to13w	Population 16 years and over: Female: Worked in 1999: Usually worked 1 to 14 hours per week: 1 to 13 weeks
PopGte16y_Fem_Wrkd99_DNWork99	Population 16 years and over: Female: Worked in 1999: Did not work in 1999
Fam_Tot	Families: Total:
Fam_MrdCplFam	Families: Married-couple family:
Fam_MrdCplFam_NoWorkers	Families: Married-couple family: No workers
Fam_MrdCplFam_1wrkr	Families: Married-couple family: 1 worker
Fam_MrdCplFam_2wrkr	Families: Married-couple family: 2 workers:
Fam_MrdCplFam_2wrkr_HusbWifeWork	Families: Married-couple family: 2 workers: Husband and wife worked
