ZipCode	Zip Code
LogRecNum	Logical Record Number
UnrelIndPovDet_Tot	Unrelated individuals for whom poverty status is determined: Total:
UnrelIndPovDet_Inc99LtPov	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level:
UnrelIndPovDet_Inc99LtPov_NFamHh	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder:
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone:
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WSocSecInc99	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: With Social Security income in 1999:
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WSocSecInc99_WPubAssI_183	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: With Social Security income in 1999: With public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WSocSecInc99_WoutPubA_184	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: With Social Security income in 1999: Without public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WoutSocSecInc99	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: Without Social Security income in 1999:
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WoutSocSecInc99_WPubA_185	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: Without Social Security income in 1999: With public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_LivAln_WoutSocSecInc99_WoutP_186	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Living alone: Without Social Security income in 1999: Without public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone:
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WSocSecInc99	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: With Social Security income in 1999:
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WSocSecInc99_WPubA_187	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: With Social Security income in 1999: With public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WSocSecInc99_WoutP_188	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: With Social Security income in 1999: Without public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WoutSocSecInc99	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: Without Social Security income in 1999:
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WoutSocSecInc99_WP_189	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: Without Social Security income in 1999: With public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_NFamHh_NotLivAln_WoutSocSecInc99_Wo_190	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Nonfamily householder: Not living alone: Without Social Security income in 1999: Without public assistance income in 1999
UnrelIndPovDet_Inc99LtPov_OthUnrelInd	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Other unrelated individuals:
UnrelIndPovDet_Inc99LtPov_OthUnrelInd_WSocSecInc99	Unrelated individuals for whom poverty status is determined: Income in 1999 below poverty level: Other unrelated individuals: With Social Security income in 1999:
