ZipCode	Zip Code
LogRecNum	Logical Record Number
WhtNotHispPopGte5y_Tot	White alone, not Hispanic or Latino population 5 years and over: Total:
WhtNotHispPopGte5y_SameHs95	White alone, not Hispanic or Latino population 5 years and over: Same house in 1995
WhtNotHispPopGte5y_DiffHs95	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995:
WhtNotHispPopGte5y_DiffHs95_InUS95	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995:
WhtNotHispPopGte5y_DiffHs95_InUS95_SameCnty	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Same county
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county:
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_SameSt	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Same state
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_DiffSt	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Different state:
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_DiffSt_NorthEast	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Different state: Northeast
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_DiffSt_MidWest	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Different state: Midwest
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_DiffSt_South	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Different state: South
WhtNotHispPopGte5y_DiffHs95_InUS95_DiffCnty_DiffSt_West	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In United States in 1995: Different county: Different state: West
WhtNotHispPopGte5y_DiffHs95_PRico95	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In Puerto Rico in 1995:
WhtNotHispPopGte5y_DiffHs95_PRico95_SameMunic	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In Puerto Rico in 1995: Same municipio
WhtNotHispPopGte5y_DiffHs95_PRico95_DiffMunic	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: In Puerto Rico in 1995: Different municipio
WhtNotHispPopGte5y_DiffHs95_Else95	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: Elsewhere in 1995:
WhtNotHispPopGte5y_DiffHs95_Else95_USIslAreas	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: Elsewhere in 1995: U.S. Island Areas
WhtNotHispPopGte5y_DiffHs95_Else95_FrgnCntrySea	White alone, not Hispanic or Latino population 5 years and over: Different house in 1995: Elsewhere in 1995: Foreign country or at sea
WhtWrkrsGte16y_Tot	White alone workers 16 years and over: Total:
WhtWrkrsGte16y_CarTrckVan	White alone workers 16 years and over: Car, truck, or van:
WhtWrkrsGte16y_CarTrckVan_DrvAln	White alone workers 16 years and over: Car, truck, or van: Drove alone
WhtWrkrsGte16y_CarTrckVan_Carpool	White alone workers 16 years and over: Car, truck, or van: Carpooled
WhtWrkrsGte16y_PubTrans	White alone workers 16 years and over: Public transportation:
WhtWrkrsGte16y_PubTrans_BusTrlly	White alone workers 16 years and over: Public transportation: Bus or trolley bus
WhtWrkrsGte16y_PubTrans_StrtcarTrolley	White alone workers 16 years and over: Public transportation: Streetcar or trolley car (público in Puerto Rico)
WhtWrkrsGte16y_PubTrans_SubwayElev	White alone workers 16 years and over: Public transportation: Subway or elevated
WhtWrkrsGte16y_PubTrans_RR	White alone workers 16 years and over: Public transportation: Railroad
WhtWrkrsGte16y_PubTrans_Ferry	White alone workers 16 years and over: Public transportation: Ferryboat
WhtWrkrsGte16y_PubTrans_Taxi	White alone workers 16 years and over: Public transportation: Taxicab
WhtWrkrsGte16y_MotCycle	White alone workers 16 years and over: Motorcycle
WhtWrkrsGte16y_Bike	White alone workers 16 years and over: Bicycle
WhtWrkrsGte16y_Walked	White alone workers 16 years and over: Walked
WhtWrkrsGte16y_OthMeans	White alone workers 16 years and over: Other means
WhtWrkrsGte16y_WrkdAtHome	White alone workers 16 years and over: Worked at home
BlkAfAmWrkGte16y_Tot	Black or African American alone workers 16 years and over: Total:
BlkAfAmWrkGte16y_CarTrckVan	Black or African American alone workers 16 years and over: Car, truck, or van:
BlkAfAmWrkGte16y_CarTrckVan_DrvAln	Black or African American alone workers 16 years and over: Car, truck, or van: Drove alone
BlkAfAmWrkGte16y_CarTrckVan_Carpool	Black or African American alone workers 16 years and over: Car, truck, or van: Carpooled
BlkAfAmWrkGte16y_PubTrans	Black or African American alone workers 16 years and over: Public transportation:
BlkAfAmWrkGte16y_PubTrans_BusTrlly	Black or African American alone workers 16 years and over: Public transportation: Bus or trolley bus
BlkAfAmWrkGte16y_PubTrans_StrtcarTrolley	Black or African American alone workers 16 years and over: Public transportation: Streetcar or trolley car (público in Puerto Rico)
BlkAfAmWrkGte16y_PubTrans_SubwayElev	Black or African American alone workers 16 years and over: Public transportation: Subway or elevated
BlkAfAmWrkGte16y_PubTrans_RR	Black or African American alone workers 16 years and over: Public transportation: Railroad
BlkAfAmWrkGte16y_PubTrans_Ferry	Black or African American alone workers 16 years and over: Public transportation: Ferryboat
BlkAfAmWrkGte16y_PubTrans_Taxi	Black or African American alone workers 16 years and over: Public transportation: Taxicab
BlkAfAmWrkGte16y_MotCycle	Black or African American alone workers 16 years and over: Motorcycle
BlkAfAmWrkGte16y_Bike	Black or African American alone workers 16 years and over: Bicycle
BlkAfAmWrkGte16y_Walked	Black or African American alone workers 16 years and over: Walked
BlkAfAmWrkGte16y_OthMeans	Black or African American alone workers 16 years and over: Other means
BlkAfAmWrkGte16y_WrkdAtHome	Black or African American alone workers 16 years and over: Worked at home
AmIndAkNatworkersGte16y_Tot	American Indian and Alaska Native alone workers 16 years and over: Total:
AmIndAkNatworkersGte16y_CarTrckVan	American Indian and Alaska Native alone workers 16 years and over: Car, truck, or van
AmIndAkNatworkersGte16y_CarTrckVan_DrvAln	American Indian and Alaska Native alone workers 16 years and over: Car, truck, or van Drove alone
AmIndAkNatworkersGte16y_CarTrckVan_Carpool	American Indian and Alaska Native alone workers 16 years and over: Car, truck, or van Carpooled
AmIndAkNatworkersGte16y_PubTrans	American Indian and Alaska Native alone workers 16 years and over: Public transportation:
AmIndAkNatworkersGte16y_PubTrans_BusTrlly	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Bus or trolley bus
AmIndAkNatworkersGte16y_PubTrans_StrtcarTrolley	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Streetcar or trolley car (público in Puerto Rico)
AmIndAkNatworkersGte16y_PubTrans_SubwayElev	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Subway or elevated
AmIndAkNatworkersGte16y_PubTrans_RR	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Railroad
AmIndAkNatworkersGte16y_PubTrans_Ferry	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Ferryboat
AmIndAkNatworkersGte16y_PubTrans_Taxi	American Indian and Alaska Native alone workers 16 years and over: Public transportation: Taxicab
AmIndAkNatworkersGte16y_MotCycle	American Indian and Alaska Native alone workers 16 years and over: Motorcycle
AmIndAkNatworkersGte16y_Bike	American Indian and Alaska Native alone workers 16 years and over: Bicycle
AmIndAkNatworkersGte16y_Walked	American Indian and Alaska Native alone workers 16 years and over: Walked
AmIndAkNatworkersGte16y_OthMeans	American Indian and Alaska Native alone workers 16 years and over: Other means
AmIndAkNatworkersGte16y_WrkdAtHome	American Indian and Alaska Native alone workers 16 years and over: Worked at home
AsnWrkrGte16y_Tot	Asian alone workers 16 years and over: Total:
AsnWrkrGte16y_CarTrckVan	Asian alone workers 16 years and over: Car, truck, or van:
AsnWrkrGte16y_CarTrckVan_DrvAln	Asian alone workers 16 years and over: Car, truck, or van: Drove alone
AsnWrkrGte16y_CarTrckVan_Carpool	Asian alone workers 16 years and over: Car, truck, or van: Carpooled
AsnWrkrGte16y_PubTrans	Asian alone workers 16 years and over: Public transportation:
AsnWrkrGte16y_PubTrans_BusTrlly	Asian alone workers 16 years and over: Public transportation: Bus or trolley bus
AsnWrkrGte16y_PubTrans_StrtcarTrolley	Asian alone workers 16 years and over: Public transportation: Streetcar or trolley car (público in Puerto Rico)
AsnWrkrGte16y_PubTrans_SubwayElev	Asian alone workers 16 years and over: Public transportation: Subway or elevated
AsnWrkrGte16y_PubTrans_RR	Asian alone workers 16 years and over: Public transportation: Railroad
AsnWrkrGte16y_PubTrans_Ferry	Asian alone workers 16 years and over: Public transportation: Ferryboat
AsnWrkrGte16y_PubTrans_Taxi	Asian alone workers 16 years and over: Public transportation: Taxicab
AsnWrkrGte16y_MotCycle	Asian alone workers 16 years and over: Motorcycle
AsnWrkrGte16y_Bike	Asian alone workers 16 years and over: Bicycle
AsnWrkrGte16y_Walked	Asian alone workers 16 years and over: Walked
AsnWrkrGte16y_OthMeans	Asian alone workers 16 years and over: Other means
AsnWrkrGte16y_WrkdAtHome	Asian alone workers 16 years and over: Worked at home
NatHiPacIslWrkrGte16y_Tot	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Total:
NatHiPacIslWrkrGte16y_CarTrckVan	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Car, truck, or van:
NatHiPacIslWrkrGte16y_CarTrckVan_DrvAln	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Car, truck, or van: Drove alone
NatHiPacIslWrkrGte16y_CarTrckVan_Carpool	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Car, truck, or van: Carpooled
NatHiPacIslWrkrGte16y_PubTrans	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Public transportation:
NatHiPacIslWrkrGte16y_PubTrans_BusTrlly	Native Hawaiian and Other Pacific Islander alone workers 16 years and over: Public transportation: Bus or trolley bus
