ZipCode	Zip Code
LogRecNum	Logical Record Number
HH_Tot	Households: Total:
HH_Inc99LtPov	Households: Income in 1999 below poverty level:
HH_Inc99LtPov_FamHH	Households: Income in 1999 below poverty level: Family households:
HH_Inc99LtPov_FamHH_MrdCplFam	Households: Income in 1999 below poverty level: Family households: Married-couple family:
HH_Inc99LtPov_FamHH_MrdCplFam_HhLt25y	Households: Income in 1999 below poverty level: Family households: Married-couple family: Householder under 25 years
HH_Inc99LtPov_FamHH_MrdCplFam_Hh25to44y	Households: Income in 1999 below poverty level: Family households: Married-couple family: Householder 25 to 44 years
HH_Inc99LtPov_FamHH_MrdCplFam_Hh45to64y	Households: Income in 1999 below poverty level: Family households: Married-couple family: Householder 45 to 64 years
HH_Inc99LtPov_FamHH_MrdCplFam_HhGte65y	Households: Income in 1999 below poverty level: Family households: Married-couple family: Householder 65 years and over
HH_Inc99LtPov_FamHH_OthFam	Households: Income in 1999 below poverty level: Family households: Other family:
HH_Inc99LtPov_FamHH_OthFam_MleHhNoWife	Households: Income in 1999 below poverty level: Family households: Other family: Male householder, no wife present:
HH_Inc99LtPov_FamHH_OthFam_MleHhNoWife_HhLt25y	Households: Income in 1999 below poverty level: Family households: Other family: Male householder, no wife present: Householder under 25 years
HH_Inc99LtPov_FamHH_OthFam_MleHhNoWife_Hh25to44y	Households: Income in 1999 below poverty level: Family households: Other family: Male householder, no wife present: Householder 25 to 44 years
HH_Inc99LtPov_FamHH_OthFam_MleHhNoWife_Hh45to64y	Households: Income in 1999 below poverty level: Family households: Other family: Male householder, no wife present: Householder 45 to 64 years
HH_Inc99LtPov_FamHH_OthFam_MleHhNoWife_HhGte65y	Households: Income in 1999 below poverty level: Family households: Other family: Male householder, no wife present: Householder 65 years and over
HH_Inc99LtPov_FamHH_OthFam_FemHhNoHusb	Households: Income in 1999 below poverty level: Family households: Other family: Female householder, no husband present:
HH_Inc99LtPov_FamHH_OthFam_FemHhNoHusb_HhLt25y	Households: Income in 1999 below poverty level: Family households: Other family: Female householder, no husband present: Householder under 25 years
HH_Inc99LtPov_FamHH_OthFam_FemHhNoHusb_Hh25to44y	Households: Income in 1999 below poverty level: Family households: Other family: Female householder, no husband present: Householder 25 to 44 years
HH_Inc99LtPov_FamHH_OthFam_FemHhNoHusb_Hh45to64y	Households: Income in 1999 below poverty level: Family households: Other family: Female householder, no husband present: Householder 45 to 64 years
HH_Inc99LtPov_FamHH_OthFam_FemHhNoHusb_HhGte65y	Households: Income in 1999 below poverty level: Family households: Other family: Female householder, no husband present: Householder 65 years and over
HH_Inc99LtPov_NFamHH	Households: Income in 1999 below poverty level: Nonfamily households:
HH_Inc99LtPov_NFamHH_MleHh	Households: Income in 1999 below poverty level: Nonfamily households: Male householder:
HH_Inc99LtPov_NFamHH_MleHh_HhLt25y	Households: Income in 1999 below poverty level: Nonfamily households: Male householder: Householder under 25 years
HH_Inc99LtPov_NFamHH_MleHh_Hh25to44y	Households: Income in 1999 below poverty level: Nonfamily households: Male householder: Householder 25 to 44 years
HH_Inc99LtPov_NFamHH_MleHh_Hh45to64y	Households: Income in 1999 below poverty level: Nonfamily households: Male householder: Householder 45 to 64 years
HH_Inc99LtPov_NFamHH_MleHh_HhGte65y	Households: Income in 1999 below poverty level: Nonfamily households: Male householder: Householder 65 years and over
HH_Inc99LtPov_NFamHH_FemHh	Households: Income in 1999 below poverty level: Nonfamily households: Female householder:
HH_Inc99LtPov_NFamHH_FemHh_HhLt25y	Households: Income in 1999 below poverty level: Nonfamily households: Female householder: Householder under 25 years
HH_Inc99LtPov_NFamHH_FemHh_Hh25to44y	Households: Income in 1999 below poverty level: Nonfamily households: Female householder: Householder 25 to 44 years
HH_Inc99LtPov_NFamHH_FemHh_Hh45to64y	Households: Income in 1999 below poverty level: Nonfamily households: Female householder: Householder 45 to 64 years
HH_Inc99LtPov_NFamHH_FemHh_HhGte65y	Households: Income in 1999 below poverty level: Nonfamily households: Female householder: Householder 65 years and over
HH_Inc99GtePov	Households: Income in 1999 at or above poverty level:
HH_Inc99GtePov_FamHH	Households: Income in 1999 at or above poverty level: Family households:
HH_Inc99GtePov_FamHH_MrdCplFam	Households: Income in 1999 at or above poverty level: Family households: Married-couple family:
HH_Inc99GtePov_FamHH_MrdCplFam_HhLt25y	Households: Income in 1999 at or above poverty level: Family households: Married-couple family: Householder under 25 years
HH_Inc99GtePov_FamHH_MrdCplFam_Hh25to44y	Households: Income in 1999 at or above poverty level: Family households: Married-couple family: Householder 25 to 44 years
HH_Inc99GtePov_FamHH_MrdCplFam_Hh45to64y	Households: Income in 1999 at or above poverty level: Family households: Married-couple family: Householder 45 to 64 years
HH_Inc99GtePov_FamHH_MrdCplFam_HhGte65y	Households: Income in 1999 at or above poverty level: Family households: Married-couple family: Householder 65 years and over
HH_Inc99GtePov_FamHH_OthFam	Households: Income in 1999 at or above poverty level: Family households: Other family:
HH_Inc99GtePov_FamHH_OthFam_MleHhNoWife	Households: Income in 1999 at or above poverty level: Family households: Other family: Male householder, no wife present:
HH_Inc99GtePov_FamHH_OthFam_MleHhNoWife_HhLt25y	Households: Income in 1999 at or above poverty level: Family households: Other family: Male householder, no wife present: Householder under 25 years
HH_Inc99GtePov_FamHH_OthFam_MleHhNoWife_Hh25to44y	Households: Income in 1999 at or above poverty level: Family households: Other family: Male householder, no wife present: Householder 25 to 44 years
HH_Inc99GtePov_FamHH_OthFam_MleHhNoWife_Hh45to64y	Households: Income in 1999 at or above poverty level: Family households: Other family: Male householder, no wife present: Householder 45 to 64 years
HH_Inc99GtePov_FamHH_OthFam_MleHhNoWife_HhGte65y	Households: Income in 1999 at or above poverty level: Family households: Other family: Male householder, no wife present: Householder 65 years and over
HH_Inc99GtePov_FamHH_OthFam_FemHhNoHusb	Households: Income in 1999 at or above poverty level: Family households: Other family: Female householder, no husband present:
HH_Inc99GtePov_FamHH_OthFam_FemHhNoHusb_HhLt25y	Households: Income in 1999 at or above poverty level: Family households: Other family: Female householder, no husband present: Householder under 25 years
HH_Inc99GtePov_FamHH_OthFam_FemHhNoHusb_Hh25to44y	Households: Income in 1999 at or above poverty level: Family households: Other family: Female householder, no husband present: Householder 25 to 44 years
HH_Inc99GtePov_FamHH_OthFam_FemHhNoHusb_Hh45to64y	Households: Income in 1999 at or above poverty level: Family households: Other family: Female householder, no husband present: Householder 45 to 64 years
HH_Inc99GtePov_FamHH_OthFam_FemHhNoHusb_HhGte65y	Households: Income in 1999 at or above poverty level: Family households: Other family: Female householder, no husband present: Householder 65 years and over
HH_Inc99GtePov_NFamHH	Households: Income in 1999 at or above poverty level: Nonfamily households:
HH_Inc99GtePov_NFamHH_MleHh	Households: Income in 1999 at or above poverty level: Nonfamily households: Male householder:
HH_Inc99GtePov_NFamHH_MleHh_HhLt25y	Households: Income in 1999 at or above poverty level: Nonfamily households: Male householder: Householder under 25 years
HH_Inc99GtePov_NFamHH_MleHh_Hh25to44y	Households: Income in 1999 at or above poverty level: Nonfamily households: Male householder: Householder 25 to 44 years
HH_Inc99GtePov_NFamHH_MleHh_Hh45to64y	Households: Income in 1999 at or above poverty level: Nonfamily households: Male householder: Householder 45 to 64 years
HH_Inc99GtePov_NFamHH_MleHh_HhGte65y	Households: Income in 1999 at or above poverty level: Nonfamily households: Male householder: Householder 65 years and over
