ZipCode	Zip Code
LogRecNum	Logical Record Number
AsnCNIPopGte5y_Tot	Asian alone civilian noninstitutionalized population 5 years and over: Total:
AsnCNIPopGte5y_Mle	Asian alone civilian noninstitutionalized population 5 years and over: Male:
AsnCNIPopGte5y_Mle_5to15y	Asian alone civilian noninstitutionalized population 5 years and over: Male: 5 to 15 years:
AsnCNIPopGte5y_Mle_5to15y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 5 to 15 years: With a disability
AsnCNIPopGte5y_Mle_5to15y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 5 to 15 years: No disability
AsnCNIPopGte5y_Mle_16to20y	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years:
AsnCNIPopGte5y_Mle_16to20y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: With a disability:
AsnCNIPopGte5y_Mle_16to20y_WDisab_Empl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: With a disability: Employed
AsnCNIPopGte5y_Mle_16to20y_WDisab_NotEmpl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: With a disability: Not employed
AsnCNIPopGte5y_Mle_16to20y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: No disability:
AsnCNIPopGte5y_Mle_16to20y_NoDisab_Empl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: No disability: Employed
AsnCNIPopGte5y_Mle_16to20y_NoDisab_NotEmpl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 16 to 20 years: No disability: Not employed
AsnCNIPopGte5y_Mle_21to64y	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years:
AsnCNIPopGte5y_Mle_21to64y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: With a disability:
AsnCNIPopGte5y_Mle_21to64y_WDisab_Empl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: With a disability: Employed
AsnCNIPopGte5y_Mle_21to64y_WDisab_NotEmpl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: With a disability: Not employed
AsnCNIPopGte5y_Mle_21to64y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: No disability:
AsnCNIPopGte5y_Mle_21to64y_NoDisab_Empl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: No disability: Employed
AsnCNIPopGte5y_Mle_21to64y_NoDisab_NotEmpl	Asian alone civilian noninstitutionalized population 5 years and over: Male: 21 to 64 years: No disability: Not employed
AsnCNIPopGte5y_Mle_65to74y	Asian alone civilian noninstitutionalized population 5 years and over: Male: 65 to 74 years:
AsnCNIPopGte5y_Mle_65to74y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 65 to 74 years: With a disability
AsnCNIPopGte5y_Mle_65to74y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 65 to 74 years: No disability
AsnCNIPopGte5y_Mle_Gte75y	Asian alone civilian noninstitutionalized population 5 years and over: Male: 75 years and over:
AsnCNIPopGte5y_Mle_Gte75y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 75 years and over: With a disability
AsnCNIPopGte5y_Mle_Gte75y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Male: 75 years and over: No disability
AsnCNIPopGte5y_Fem	Asian alone civilian noninstitutionalized population 5 years and over: Female:
AsnCNIPopGte5y_Fem_5to15y	Asian alone civilian noninstitutionalized population 5 years and over: Female: 5 to 15 years:
AsnCNIPopGte5y_Fem_5to15y_WDisab	Asian alone civilian noninstitutionalized population 5 years and over: Female: 5 to 15 years: With a disability
AsnCNIPopGte5y_Fem_5to15y_NoDisab	Asian alone civilian noninstitutionalized population 5 years and over: Female: 5 to 15 years: No disability
AsnCNIPopGte5y_Fem_16to20y	Asian alone civilian noninstitutionalized population 5 years and over: Female: 16 to 20 years:
